Database ID	Sequence ID	"Probability
(min. threshold)"	"Predicted
probability"	"Effector
prediction"	Sequence Header	Genome
356863	1614	0.9	0.999999	effector	>AAO29522.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356879	1630	0.9	1	effector	>AAO29538.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356912	1663	0.9	0.995068	effector	>AAO29571.1 type 4 fimbrial biogenesis protein [Xylella fastidiosa Temecula1]	Temecula1
356962	1713	0.9	1	effector	>AAO29621.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356982	1733	0.9	0.986345	effector	>AAO29641.1 outer membrane protein [Xylella fastidiosa Temecula1]	Temecula1
356990	1741	0.9	0.987894	effector	>AAO29649.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
356991	1742	0.9	0.999938	effector	>AAO29650.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
357024	1775	0.9	0.999997	effector	>AAO29683.1 endo-14-beta-glucanase [Xylella fastidiosa Temecula1]	Temecula1
357095	1846	0.9	0.999842	effector	>AAO29754.1 fimbrial protein [Xylella fastidiosa Temecula1]	Temecula1
357097	1848	0.9	0.989856	effector	>AAO29756.1 fimbrial protein [Xylella fastidiosa Temecula1]	Temecula1
357142	1893	0.9	0.997927	effector	>AAO29801.1 glutaredoxin [Xylella fastidiosa Temecula1]	Temecula1
357163	1914	0.9	0.999407	effector	>AAO29822.1 temperature acclimation protein B [Xylella fastidiosa Temecula1]	Temecula1
357191	1942	0.9	0.998495	effector	>AAO29850.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
357198	1949	0.9	1	effector	>AAO29857.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
357230	1981	0.9	0.994064	effector	>AAO29889.1 tonB-dependent receptor [Xylella fastidiosa Temecula1]	Temecula1
357256	2007	0.9	1	effector	>AAO29915.1 conserved hypothetical protein [Xylella fastidiosa Temecula1]	Temecula1
357283	2034	0.9	0.997802	effector	>AAO29942.1 50S ribosomal protein L34 [Xylella fastidiosa Temecula1]	Temecula1
357284	2035	0.9	1	effector	>AAO38513.1 conserved hypothetical protein (plasmid) [Xylella fastidiosa Temecula1]	Temecula1
357311	26	0.9	0.993338	effector	>ACA11080.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357339	54	0.9	0.999979	effector	>ACA11108.1 fimbrial subunit precursor [Xylella fastidiosa M12]	M12
357445	160	0.9	1	effector	>ACA11214.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357474	189	0.9	0.992546	effector	>ACA11243.1 hypothetical protein Xfasm12_0210 [Xylella fastidiosa M12]	M12
357477	192	0.9	0.999947	effector	>ACA11246.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357488	203	0.9	0.998622	effector	>ACA11257.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357489	204	0.9	0.995086	effector	>ACA11258.1 colicin V precursor [Xylella fastidiosa M12]	M12
357494	209	0.9	0.996953	effector	>ACA11263.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357517	232	0.9	0.995984	effector	>ACA11286.1 type I restriction-modification system specificity determinant [Xylella fastidiosa M12]	M12
357583	298	0.9	1	effector	>ACA11352.1 hypothetical protein Xfasm12_0333 [Xylella fastidiosa M12]	M12
357588	303	0.9	1	effector	>ACA11357.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357655	370	0.9	0.99124	effector	>ACA11424.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357679	394	0.9	0.987387	effector	>ACA11448.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357685	400	0.9	0.999713	effector	>ACA11454.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357691	406	0.9	0.997782	effector	>ACA11460.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357747	462	0.9	0.994453	effector	>ACA11516.1 30S ribosomal protein S14 [Xylella fastidiosa M12]	M12
357798	513	0.9	1	effector	>ACA11567.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357816	531	0.9	0.999787	effector	>ACA11585.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357832	547	0.9	0.997961	effector	>ACA11601.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357833	548	0.9	1	effector	>ACA11602.1 Cellulase [Xylella fastidiosa M12]	M12
357840	555	0.9	0.99998	effector	>ACA11609.1 hypothetical protein Xfasm12_0605 [Xylella fastidiosa M12]	M12
357905	620	0.9	1	effector	>ACA11674.1 hypothetical protein Xfasm12_0676 [Xylella fastidiosa M12]	M12
357919	634	0.9	0.999318	effector	>ACA11688.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357957	672	0.9	0.996821	effector	>ACA11726.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
357980	695	0.9	0.988249	effector	>ACA11749.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358073	788	0.9	0.999996	effector	>ACA11842.1 outer membrane protein XadA [Xylella fastidiosa M12]	M12
358085	800	0.9	0.999921	effector	>ACA11854.1 surface protein [Xylella fastidiosa M12]	M12
358113	828	0.9	0.985926	effector	>ACA11882.1 hypothetical protein Xfasm12_0898 [Xylella fastidiosa M12]	M12
358115	830	0.9	0.999868	effector	>ACA11884.1 hypothetical protein Xfasm12_0901 [Xylella fastidiosa M12]	M12
358129	844	0.9	1	effector	>ACA11898.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358193	908	0.9	0.999988	effector	>ACA11962.1 surface protein [Xylella fastidiosa M12]	M12
358277	992	0.9	0.999703	effector	>ACA12046.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358286	1001	0.9	0.999703	effector	>ACA12055.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358299	1014	0.9	0.999963	effector	>ACA12068.1 hypothetical protein Xfasm12_1113 [Xylella fastidiosa M12]	M12
358332	1047	0.9	0.99124	effector	>ACA12101.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358345	1060	0.9	0.999924	effector	>ACA12114.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358387	1102	0.9	0.989927	effector	>ACA12156.1 50S ribosomal protein L32 [Xylella fastidiosa M12]	M12
358408	1123	0.9	0.991249	effector	>ACA12177.1 hypothetical protein Xfasm12_1235 [Xylella fastidiosa M12]	M12
358504	1219	0.9	0.989654	effector	>ACA12273.1 ferric enterobactin receptor [Xylella fastidiosa M12]	M12
358527	1242	0.9	1	effector	>ACA12296.1 hypothetical protein Xfasm12_1366 [Xylella fastidiosa M12]	M12
358590	1305	0.9	0.998522	effector	>ACA12359.1 hypothetical protein Xfasm12_1436 [Xylella fastidiosa M12]	M12
358641	1356	0.9	0.999873	effector	>ACA12410.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358655	1370	0.9	1	effector	>ACA12424.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358667	1382	0.9	1	effector	>ACA12436.1 putative cold-shock DNA-binding domain protein [Xylella fastidiosa M12]	M12
358688	1403	0.9	0.999995	effector	>ACA12457.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358690	1405	0.9	0.988841	effector	>ACA12459.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358712	1427	0.9	0.999994	effector	>ACA12481.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358739	1454	0.9	0.999944	effector	>ACA12508.1 50S ribosomal protein L36 [Xylella fastidiosa M12]	M12
358819	1534	0.9	0.999995	effector	>ACA12588.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358874	1589	0.9	0.997293	effector	>ACA12643.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
358964	1679	0.9	0.999999	effector	>ACA12733.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359004	1719	0.9	0.997808	effector	>ACA12773.1 type 4 fimbrial biogenesis protein [Xylella fastidiosa M12]	M12
359030	1745	0.9	0.999887	effector	>ACA12799.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359059	1774	0.9	1	effector	>ACA12828.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359091	1806	0.9	1	effector	>ACA12860.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359113	1828	0.9	0.997719	effector	>ACA12882.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359120	1835	0.9	0.997431	effector	>ACA12889.1 hypothetical protein Xfasm12_2020 [Xylella fastidiosa M12]	M12
359200	1915	0.9	0.99942	effector	>ACA12969.1 fimbrial protein [Xylella fastidiosa M12]	M12
359203	1918	0.9	0.99633	effector	>ACA12972.1 fimbrial protein [Xylella fastidiosa M12]	M12
359240	1955	0.9	0.996688	effector	>ACA13009.1 hypothetical protein Xfasm12_2154 [Xylella fastidiosa M12]	M12
359249	1964	0.9	0.997531	effector	>ACA13018.1 glutaredoxin [Xylella fastidiosa M12]	M12
359270	1985	0.9	0.999407	effector	>ACA13039.1 putative cold-shock DNA-binding domain protein [Xylella fastidiosa M12]	M12
359299	2014	0.9	1	effector	>ACA13068.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359302	2017	0.9	0.999979	effector	>ACA13071.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359303	2018	0.9	1	effector	>ACA13072.1 hypothetical protein Xfasm12_2221 [Xylella fastidiosa M12]	M12
359331	2046	0.9	0.999982	effector	>ACA13100.1 hypothetical protein Xfasm12_2251 [Xylella fastidiosa M12]	M12
359339	2054	0.9	0.996589	effector	>ACA13108.1 conserved hypothetical protein [Xylella fastidiosa M12]	M12
359341	2056	0.9	0.995164	effector	>ACA13110.1 TonB-dependent receptor [Xylella fastidiosa M12]	M12
359353	2068	0.9	0.999166	effector	>ACA13122.1 hypothetical protein Xfasm12_2273 [Xylella fastidiosa M12]	M12
359373	2088	0.9	0.998476	effector	>ACA13142.1 hemolysin-type calcium binding protein [Xylella fastidiosa M12]	M12
359384	2099	0.9	0.998357	effector	>ACA13153.1 hypothetical protein Xfasm12_2311 [Xylella fastidiosa M12]	M12
359389	2104	0.9	0.997802	effector	>ACA13158.1 50S ribosomal protein L34 [Xylella fastidiosa M12]	M12
359407	18	0.9	1	effector	>ACB91476.1 hypothetical protein XfasM23_0018 [Xylella fastidiosa M23]	M23
359442	53	0.9	0.999999	effector	>ACB91511.1 Fimbrial protein [Xylella fastidiosa M23]	M23
359577	188	0.9	0.999258	effector	>ACB91646.1 hypothetical protein XfasM23_0189 [Xylella fastidiosa M23]	M23
359589	200	0.9	0.989373	effector	>ACB91658.1 hypothetical protein XfasM23_0201 [Xylella fastidiosa M23]	M23
359590	201	0.9	0.998021	effector	>ACB91659.1 high-affinity branched-chain amino acid transport protein (ABC superfamily membrane) [Xylella fastidiosa M23]	M23
359663	274	0.9	0.993147	effector	>ACB91732.1 hypothetical protein XfasM23_0283 [Xylella fastidiosa M23]	M23
359683	294	0.9	1	effector	>ACB91752.1 hypothetical protein XfasM23_0303 [Xylella fastidiosa M23]	M23
359747	358	0.9	0.999985	effector	>ACB91816.1 hypothetical protein XfasM23_0368 [Xylella fastidiosa M23]	M23
359813	424	0.9	0.986812	effector	>ACB91882.1 Ribosomal protein L25/L23 [Xylella fastidiosa M23]	M23
359824	435	0.9	0.994453	effector	>ACB91893.1 ribosomal protein S14 [Xylella fastidiosa M23]	M23
359869	480	0.9	0.999296	effector	>ACB91938.1 hypothetical protein XfasM23_0491 [Xylella fastidiosa M23]	M23
359876	487	0.9	1	effector	>ACB91945.1 conserved hypothetical protein [Xylella fastidiosa M23]	M23
359888	499	0.9	0.999375	effector	>ACB91957.1 hypothetical protein XfasM23_0513 [Xylella fastidiosa M23]	M23
359919	530	0.9	0.998445	effector	>ACB91988.1 hypothetical protein XfasM23_0544 [Xylella fastidiosa M23]	M23
359927	538	0.9	0.994107	effector	>ACB91996.1 Autotransporter beta- domain protein [Xylella fastidiosa M23]	M23
359928	539	0.9	1	effector	>ACB91997.1 Cellulose 14-beta-cellobiosidase [Xylella fastidiosa M23]	M23
359933	544	0.9	1	effector	>ACB92002.1 hypothetical protein XfasM23_0558 [Xylella fastidiosa M23]	M23
359956	567	0.9	0.995802	effector	>ACB92025.1 hypothetical protein XfasM23_0581 [Xylella fastidiosa M23]	M23
359957	568	0.9	0.999875	effector	>ACB92026.1 hypothetical protein XfasM23_0582 [Xylella fastidiosa M23]	M23
359958	569	0.9	1	effector	>ACB92027.1 hypothetical protein XfasM23_0583 [Xylella fastidiosa M23]	M23
360021	632	0.9	0.996821	effector	>ACB92090.1 conserved hypothetical protein [Xylella fastidiosa M23]	M23
360032	643	0.9	0.997883	effector	>ACB92101.1 hypothetical protein XfasM23_0659 [Xylella fastidiosa M23]	M23
360044	655	0.9	0.987191	effector	>ACB92113.1 lipopolysaccharide transport periplasmic protein LptA [Xylella fastidiosa M23]	M23
360138	749	0.9	0.999998	effector	>ACB92207.1 YadA domain protein [Xylella fastidiosa M23]	M23
360150	761	0.9	0.999996	effector	>ACB92219.1 Xylella fastidiosa surface related [Xylella fastidiosa M23]	M23
360206	817	0.9	0.999963	effector	>ACB92275.1 integral membrane protein-like protein [Xylella fastidiosa M23]	M23
360239	850	0.9	0.999994	effector	>ACB92308.1 YadA domain protein [Xylella fastidiosa M23]	M23
360284	895	0.9	0.995931	effector	>ACB92353.1 hypothetical protein XfasM23_0919 [Xylella fastidiosa M23]	M23
360353	964	0.9	0.999375	effector	>ACB92422.1 hypothetical protein XfasM23_0990 [Xylella fastidiosa M23]	M23
360359	970	0.9	0.998562	effector	>ACB92428.1 hypothetical protein XfasM23_0996 [Xylella fastidiosa M23]	M23
360365	976	0.9	0.999994	effector	>ACB92434.1 hypothetical protein XfasM23_1003 [Xylella fastidiosa M23]	M23
360367	978	0.9	0.992282	effector	>ACB92436.1 putative transposase [Xylella fastidiosa M23]	M23
360472	1083	0.9	0.989927	effector	>ACB92541.1 ribosomal protein L32 [Xylella fastidiosa M23]	M23
360528	1139	0.9	0.998497	effector	>ACB92597.1 hypothetical protein XfasM23_1169 [Xylella fastidiosa M23]	M23
360543	1154	0.9	0.987021	effector	>ACB92612.1 hypothetical protein XfasM23_1184 [Xylella fastidiosa M23]	M23
360630	1241	0.9	0.989096	effector	>ACB92699.1 TonB-dependent receptor [Xylella fastidiosa M23]	M23
360717	1328	0.9	0.988278	effector	>ACB92786.1 TonB-dependent receptor [Xylella fastidiosa M23]	M23
360732	1343	0.9	0.995147	effector	>ACB92801.1 hypothetical protein XfasM23_1383 [Xylella fastidiosa M23]	M23
360733	1344	0.9	1	effector	>ACB92802.1 Pyrrolo-quinoline quinone [Xylella fastidiosa M23]	M23
360777	1388	0.9	0.999998	effector	>ACB92846.1 putative plasmid conjugal transfer protein [Xylella fastidiosa M23]	M23
360807	1418	0.9	1	effector	>ACB92876.1 cold-shock DNA-binding domain protein [Xylella fastidiosa M23]	M23
360845	1456	0.9	0.991536	effector	>ACB92914.1 hypothetical protein XfasM23_1504 [Xylella fastidiosa M23]	M23
360849	1460	0.9	0.993623	effector	>ACB92918.1 hypothetical protein XfasM23_1508 [Xylella fastidiosa M23]	M23
360853	1464	0.9	0.998184	effector	>ACB92922.1 Haemolysin-type calcium binding domain protein [Xylella fastidiosa M23]	M23
360910	1521	0.9	0.996325	effector	>ACB92979.1 hypothetical protein XfasM23_1571 [Xylella fastidiosa M23]	M23
360936	1547	0.9	1	effector	>ACB93005.1 hypothetical protein XfasM23_1597 [Xylella fastidiosa M23]	M23
361112	1723	0.9	0.999999	effector	>ACB93181.1 conserved hypothetical protein [Xylella fastidiosa M23]	M23
361167	1778	0.9	0.995068	effector	>ACB93236.1 fimbrial biogenesis protein [Xylella fastidiosa M23]	M23
361172	1783	0.9	0.996856	effector	>ACB93241.1 conserved hypothetical protein [Xylella fastidiosa M23]	M23
361221	1832	0.9	1	effector	>ACB93290.1 conserved hypothetical protein [Xylella fastidiosa M23]	M23
361240	1851	0.9	0.986345	effector	>ACB93309.1 OmpW family protein [Xylella fastidiosa M23]	M23
361283	1894	0.9	0.999997	effector	>ACB93352.1 Cellulase [Xylella fastidiosa M23]	M23
361354	1965	0.9	0.985906	effector	>ACB93423.1 hypothetical protein XfasM23_2025 [Xylella fastidiosa M23]	M23
361360	1971	0.9	0.99964	effector	>ACB93429.1 Fimbrial protein pilin [Xylella fastidiosa M23]	M23
361362	1973	0.9	0.989856	effector	>ACB93431.1 Fimbrial protein pilin [Xylella fastidiosa M23]	M23
361405	2016	0.9	0.997927	effector	>ACB93474.1 glutaredoxin 3 [Xylella fastidiosa M23]	M23
361427	2038	0.9	0.999407	effector	>ACB93496.1 cold-shock DNA-binding domain protein [Xylella fastidiosa M23]	M23
361466	2077	0.9	0.992152	effector	>ACB93535.1 hypothetical protein XfasM23_2139 [Xylella fastidiosa M23]	M23
361495	2106	0.9	0.994064	effector	>ACB93564.1 TonB-dependent receptor [Xylella fastidiosa M23]	M23
361507	2118	0.9	0.992692	effector	>ACB93576.1 hypothetical protein XfasM23_2181 [Xylella fastidiosa M23]	M23
361525	2136	0.9	1	effector	>ACB93594.1 hypothetical protein XfasM23_2199 [Xylella fastidiosa M23]	M23
361550	2161	0.9	0.997802	effector	>ACB93619.1 ribosomal protein L34 [Xylella fastidiosa M23]	M23
361575	2186	0.9	0.996504	effector	>ACB93644.1 hypothetical protein XfasM23_2251 (plasmid) [Xylella fastidiosa M23]	M23
361587	2198	0.9	0.999269	effector	>ACB93656.1 single-strand binding protein (plasmid) [Xylella fastidiosa M23]	M23
361597	7	0.9	0.998619	effector	>ADN62004.1 hypothetical protein XFLM_11960 (plasmid) [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361604	14	0.9	0.999987	effector	>ADN62011.1 hypothetical protein XFLM_12005 (plasmid) [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361680	90	0.9	0.990587	effector	>ADN62087.1 filamentous hemagglutinin outer membrane protein [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361717	127	0.9	0.988278	effector	>ADN62124.1 TonB-dependent receptor [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361734	144	0.9	0.999996	effector	>ADN62141.1 hypothetical protein XFLM_00585 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361783	193	0.9	0.999998	effector	>ADN62190.1 conjugal transfer protein [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361804	214	0.9	0.999849	effector	>ADN62211.1 hypothetical protein XFLM_00955 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361817	227	0.9	1	effector	>ADN62224.1 cold shock protein [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361843	253	0.9	0.988214	effector	>ADN62250.1 hypothetical protein XFLM_01190 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361860	270	0.9	0.997436	effector	>ADN62267.1 hypothetical protein XFLM_01275 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361862	272	0.9	0.993623	effector	>ADN62269.1 hypothetical protein XFLM_01285 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361869	279	0.9	0.999989	effector	>ADN62276.1 hypothetical protein XFLM_01320 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361906	316	0.9	0.985607	effector	>ADN62313.1 hypothetical protein XFLM_01550 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361945	355	0.9	0.999985	effector	>ADN62352.1 hypothetical protein XFLM_01745 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
361961	371	0.9	1	effector	>ADN62368.1 hypothetical protein XFLM_01825 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362038	448	0.9	1	effector	>ADN62445.1 hypothetical protein XFLM_02220 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362115	525	0.9	1	effector	>ADN62522.1 hypothetical protein XFLM_02615 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362134	544	0.9	0.999999	effector	>ADN62541.1 hypothetical protein XFLM_02710 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362248	658	0.9	0.997779	effector	>ADN62655.1 hypothetical protein XFLM_03330 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362251	661	0.9	0.998315	effector	>ADN62658.1 hypothetical protein XFLM_03345 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362268	678	0.9	0.986345	effector	>ADN62675.1 outer membrane protein [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362300	710	0.9	0.996986	effector	>ADN62707.1 hypothetical protein XFLM_03665 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362310	720	0.9	0.999997	effector	>ADN62717.1 endoglucanase [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362358	768	0.9	0.999837	effector	>ADN62765.1 hypothetical protein XFLM_03975 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362383	793	0.9	0.999842	effector	>ADN62790.1 fimbrial protein [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362385	795	0.9	0.989856	effector	>ADN62792.1 fimbrial protein pilin [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362423	833	0.9	0.999745	effector	>ADN62830.1 hypothetical protein XFLM_04310 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362432	842	0.9	0.997927	effector	>ADN62839.1 glutaredoxin [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362455	865	0.9	0.999407	effector	>ADN62862.1 temperature acclimation protein B [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362481	891	0.9	0.993366	effector	>ADN62888.1 hypothetical protein XFLM_04620 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362501	911	0.9	0.996422	effector	>ADN62908.1 hypothetical protein XFLM_04730 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362521	931	0.9	0.994064	effector	>ADN62928.1 TonB-dependent receptor [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
362535	945	0.9	0.999302	effector	>ADN62942.1 hypothetical protein XFLM_04920 [Xylella fastidiosa subsp. fastidiosa GB514]	GB514
